id,inflection_class,pattern
1626,240,1
1627,240,36
1628,240,196
1629,240,312
1630,240,387
1631,240,546
1632,240,664
1633,240,858
1634,240,907
1635,240,924
1636,241,715
1637,241,734
1638,241,762
1639,241,788
1640,241,814
1641,241,924
1642,242,1
1643,242,197
1644,242,547
1645,243,3
1646,243,13
1647,243,145
1648,243,262
1649,243,369
1650,243,474
1651,243,594
1652,243,859
1653,243,908
1654,243,924
1655,244,1
1656,244,83
1657,244,161
1658,244,278
1659,244,434
1660,244,510
1661,244,629
1662,244,830
1663,244,878
1664,244,924
1665,245,826
1666,245,882
1667,245,925
1668,246,1
1669,246,28
1670,246,378
1671,247,1
1672,247,25
1673,247,127
1674,247,244
1675,247,368
1676,247,548
1677,247,665
1678,247,835
1679,247,884
1680,247,924
1681,248,1
1682,248,84
1683,248,198
1684,248,313
1685,248,435
1686,248,549
1687,248,666
1688,248,827
1689,248,875
1690,248,924
1691,249,1
1692,249,37
1693,249,199
1694,249,258
1695,249,388
1696,249,550
1697,249,610
1698,249,860
1699,249,882
1700,249,927
1701,250,3
1702,250,85
1703,250,200
1704,250,314
1705,250,436
1706,250,551
1707,250,667
1708,250,834
1709,250,883
1710,250,924
1711,251,3
1712,251,86
1713,251,201
1714,251,437
1715,251,552
1716,251,834
1717,252,3
1718,252,86
1719,252,190
1720,252,306
1721,252,437
1722,252,540
1723,252,658
1724,252,827
1725,252,875
1726,252,924
1727,253,6
1728,253,202
1729,253,315
1730,253,553
1731,253,668
1732,253,924
1733,254,1
1734,254,19
1735,254,122
1736,254,367
1737,254,472
1738,254,827
1739,255,712
1740,255,735
1741,255,763
1742,255,789
1743,255,815
1744,255,924
1745,256,0
1746,256,162
1747,256,511
1748,257,1
1749,257,87
1750,257,160
1751,257,277
1752,257,438
1753,257,509
1754,257,628
1755,257,830
1756,257,878
1757,257,924
1758,258,936
1759,259,714
1760,259,736
1761,259,764
1762,259,790
1763,259,816
1764,259,924
1765,260,1
1766,260,88
1767,260,439
1768,261,1
1769,261,39
1770,261,390
1771,262,3
1772,262,203
1773,262,554
1774,263,714
1775,263,737
1776,263,761
1777,263,779
1778,263,806
1779,263,924
1780,264,1
1781,264,69
1782,264,204
1783,264,316
1784,264,418
1785,264,555
1786,264,669
1787,264,861
1788,264,909
1789,264,924
1790,265,0
1791,265,58
1792,265,235
1793,265,408
1794,265,586
1795,265,910
1796,266,1
1797,266,237
1798,266,588
1799,267,1
1800,267,139
1801,267,256
1802,267,489
1803,267,608
1804,267,924
1805,268,0
1806,268,14
1807,268,187
1808,268,242
1809,268,362
1810,268,537
1811,268,593
1812,268,826
1813,268,882
1814,268,925
1815,269,1
1816,269,89
1817,269,440
1818,270,1
1819,270,165
1820,270,281
1821,270,514
1822,270,633
1823,270,924
1824,271,0
1825,271,90
1826,271,205
1827,271,317
1828,271,441
1829,271,556
1830,271,670
1831,271,827
1832,271,875
1833,271,924
1834,272,1
1835,272,119
1836,272,237
1837,272,469
1838,272,588
1839,272,924
1840,273,714
1841,273,738
1842,273,765
1843,273,791
1844,273,817
1845,273,924
1846,274,1
1847,274,28
1848,274,206
1849,274,318
1850,274,378
1851,274,557
1852,274,671
1853,274,829
1854,274,877
1855,274,924
1856,275,1
1857,275,20
1858,275,207
1859,275,319
1860,275,369
1861,275,558
1862,275,672
1863,275,834
1864,275,883
1865,275,924
1866,276,375
1867,276,529
1868,276,848
1869,277,712
1870,277,717
1871,277,722
1872,277,750
1873,277,773
1874,277,776
1875,277,803
1876,277,826
1877,277,874
1878,277,924
1879,278,0
1880,278,65
1881,278,414
1882,279,0
1883,279,355
1884,279,708
1885,280,1
1886,280,37
1887,280,388
1888,281,2
1889,281,91
1890,281,208
1891,281,320
1892,281,436
1893,281,551
1894,281,667
1895,281,834
1896,281,883
1897,281,924
1898,282,845
1899,283,3
1900,283,40
1901,283,375
1902,284,714
1903,284,739
1904,284,766
1905,284,792
1906,284,818
1907,284,924
1908,285,3
1909,285,92
1910,285,209
1911,285,321
1912,285,442
1913,285,559
1914,285,673
1915,285,829
1916,285,877
1917,285,924
1918,286,366
1919,286,548
1920,286,665
1921,286,829
1922,286,877
1923,286,924
1924,287,368
1925,287,548
1926,287,665
1927,287,835
1928,287,884
1929,287,924
1930,288,1
1931,288,93
1932,288,185
1933,288,302
1934,288,443
1935,288,535
1936,288,654
1937,288,827
1938,288,875
1939,288,924
1940,289,1
1941,289,28
1942,289,210
1943,289,322
1944,289,378
1945,289,560
1946,289,674
1947,289,862
1948,289,911
1949,289,924
1950,290,1
1951,290,94
1952,290,444
1953,291,1
1954,291,95
1955,291,208
1956,291,320
1957,291,445
1958,291,561
1959,291,675
1960,291,846
1961,291,894
1962,291,924
1963,292,0
1964,292,187
1965,292,304
1966,292,537
1967,292,656
1968,292,924
1969,293,0
1970,293,22
1971,293,124
1972,293,266
1973,293,371
1974,293,475
1975,293,617
1976,293,863
1977,293,912
1978,293,924
1979,294,712
1980,294,740
1981,294,767
1982,294,793
1983,294,819
1984,294,924
1985,295,1
1986,295,96
1987,295,446
1988,296,1
1989,296,24
1990,296,130
1991,296,246
1992,296,374
1993,296,480
1994,296,598
1995,296,845
1996,296,893
1997,296,924
1998,297,3
1999,297,44
2000,297,120
2001,297,238
2002,297,394
2003,297,468
2004,297,587
2005,297,838
2006,297,879
2007,297,924
2008,298,366
2009,299,1
2010,299,131
2011,299,481
2012,300,1
2013,300,97
2014,300,140
2015,300,257
2016,300,447
2017,300,490
2018,300,609
2019,300,838
2020,300,879
2021,300,924
2022,301,1
2023,301,177
2024,301,294
2025,301,526
2026,301,646
2027,301,924
2028,302,3
2029,302,40
2030,302,180
2031,302,323
2032,302,375
2033,302,529
2034,302,676
2035,302,848
2036,302,896
2037,302,924
2038,303,838
2039,303,879
2040,303,924
2041,304,2
2042,304,25
2043,304,375
2044,305,1
2045,305,98
2046,305,211
2047,305,324
2048,305,448
2049,305,562
2050,305,677
2051,305,826
2052,305,874
2053,305,924
2054,306,0
2055,306,99
2056,306,152
2057,306,269
2058,306,449
2059,306,501
2060,306,620
2061,306,864
2062,306,913
2063,306,924
2064,307,1
2065,307,122
2066,307,472
2067,308,5
2068,309,827
2069,310,0
2070,310,100
2071,310,152
2072,310,269
2073,310,450
2074,310,501
2075,310,620
2076,310,865
2077,310,914
2078,310,924
2079,311,834
2080,312,1
2081,312,24
2082,312,130
2083,312,374
2084,312,480
2085,312,845
2086,313,6
2087,313,212
2088,313,325
2089,313,563
2090,313,678
2091,313,924
2092,314,849
2093,314,897
2094,314,924
2095,315,2
2096,315,20
2097,315,119
2098,315,237
2099,315,394
2100,315,468
2101,315,587
2102,315,838
2103,315,879
2104,315,924
2105,316,1
2106,316,81
2107,316,140
2108,316,257
2109,316,432
2110,316,490
2111,316,609
2112,316,863
2113,316,912
2114,316,924
2115,317,53
2116,318,1
2117,318,20
2118,318,119
2119,318,369
2120,318,469
2121,318,838
2122,319,0
2123,319,30
2124,319,235
2125,319,380
2126,319,586
2127,319,899
2128,320,1
2129,320,25
2130,320,196
2131,320,312
